"Ateneo
(categoria)";"Nome corso
(h1 post type corsi.di.laurea)";"slug
del post ""tipo + classe + nome CORSO + ateneo""";"Area di Studio
(term di tax area studio)";"Tipo
(term tax tipologia)";"Classe
(term di tax classe)";"Nome Classe
(descrizione di term tax classe)";"Note
attributo del post corso di laurea";"Costo
attributo di post corsi di laurea";"Curricula
(termini multipli di tassonomia curricula)";"Durata
attributo tax tipologia";"CFU
attributo del post"
2. Unimarconi;Ingegneria industriale;;Scienze e Tecnologie Applicate (Ingegneria);Laurea magistrale;LM-33;Ingegneria meccanica;;;;2 Anni;120
2. Unimarconi;Lingue Moderne per la Comunicazione Internazionale;;Lettere;Laurea magistrale;LM-38;Lingue moderne per la comunicazione e la cooperazione internazionale;;;;2 Anni;120
2. Unimarconi;Psicologia;;Scienze della Formazione;Laurea magistrale;LM-51;Psicologia;;;;2 Anni;120
2. Unimarconi;Medicina estetica e del benessere;;Economia;Laurea magistrale;LM-56;Scienze dell'economia;;;;2 Anni;120
2. Unimarconi;Scienze Politiche;;Scienze Politiche;Laurea magistrale;LM-62;Scienze della politica;;;;2 Anni;120
2. Unimarconi;Pedagogia;;Scienze della Formazione;Laurea magistrale;LM-85;Scienze pedagogiche;;;;2 Anni;120
2. Unimarconi;Giurisprudenza;;Giurisprudenza;Laurea magistrale a ciclo unico;LMG-01;Giurisprudenza;;;;;
5. Uninettuno;Diritto dell’impresa, del lavoro e delle nuove tecnologie;;Giurisprudenza;Laurea triennale;L-14;Scienze dei servizi giuridici;;;Diritto della società digitale,Diritto della sicurezza sul lavoro,Operatore giuridico d’impresa;3 anni;180
3. San Raffaele;Scienze dell’Amministrazione e dell’Organizzazione;;Giurisprudenza;Laurea triennale;L-16;Scienze dell'Amministrazione e dell'Organizzazione;;;;3 anni;180
Unifortunato;Operatore Giuridico d’Impresa;;;Laurea triennale;L-14;Scienze dei servizi giuridici;;;"""Impresa, Lavoro e Pubbliche Amministrazioni"",""Economia e gestione d’azienda""";3 anni;180
3. San Raffaele;Scienze dell’Alimentazione e Gastronomia;;Agraria;Laurea triennale;L-26;Scienze e Tecnologie Agro-Alimentari;;;;3 anni;180
8. Mercatorum;Scienze del Turismo;;Scienze umanistiche;Laurea triennale;L-15;Scienze del Turismo;;3.000,00 €;"""Ingegneria Gestionale per la Gestione del Rischio"",""Ingegneria Gestionale per la Trasformazione Digitale""
";3 anni;180
8. Mercatorum;Comunicazione e Multimedialità;;Scienze della Comunicazione;Laurea triennale;L-20;Scienze della Comunicazione;;3.000,00 €;;3 anni;180
3. San Raffaele;Scienze e Tecniche per l’Attività Motoria Preventiva e Adattata;;Scienze motorie;Laurea magistrale;LM-67;Scienze e tecniche delle attività motorie preventive e adattate;;;;2 Anni;120
3. San Raffaele;Management e Consulenza aziendale;;Economia;Laurea magistrale;LM-77;Scienze economico-aziendali;;;Management e consulenza aziendale,Economia e Management dell'Innovazione Digitale in Sanità;2 Anni;120
4. Unitelma;Scienze dell’Amministrazione e della Sicurezza;;Giuridica;Laurea triennale;L-16;Scienze dell'Amministrazione e dell'Organizzazione;;;"""Amministrazione e Organizzazione"",""Organizzazione, Sicurezza e Investigazioni"",""Amministrazione, Professioni e Organizzazioni Economiche""";3 anni;180
4. Unitelma;Scienze dell’Economia Aziendale;;Economica;Laurea triennale;L-18;Scienze dell'economia e della gestione aziendale;;;Economia Aziendale,Economia delle Aziende Turistiche;3 anni;180
4. Unitelma;Scienze e Tecniche Psicologiche;;Psicologia;Laurea triennale;L-24;Scienze e Tecniche Psicologiche;;;;3 anni;180
4. Unitelma;Informatica;;Informatica;Laurea triennale;L-31;scienze e tecnologie informatiche;;;;3 anni;180
4. Unitelma;Classical Archaeology (in lingua inglese);;Archeologia;Laurea magistrale;LM-02;Archeologia;;;;2 Anni;120
5. Uninettuno;Economia e gestione delle imprese;;Economia;Laurea triennale;L-18;Scienze dell'economia e della gestione aziendale;;;"""Economia e Governo d’Impresa"",""Cultura, turismo, territorio e valore d’impresa"",""Business management"",""Business management (with the Berlin School of - Business & Innovation)"",""Financial management""";3 anni;180
8. Mercatorum;Gestione d’Impresa;;Economia;Laurea triennale;L-18;Scienze dell'economia e della gestione aziendale;;3.000,00 €;Statutario,Economico Digitale,Marketing e Vendite,Management Sportivo e Immobiliare;3 anni;180
1. eCampus;Scienze dell'Educazione e della Formazione;;Psicologia;Laurea triennale;L-19;Scienze dell'Educazione e della Formazione;;;Base,Scienze dell’Educazione della Prima Infanzia;3 anni;180
6. Unicusano;Scienze dell'Educazione e della Formazione;;Scienze della Formazione;Laurea triennale;L-19;Scienze dell'Educazione e della Formazione;;;Educatore Psico-Educativo e sociale,Educatore servizi per l'infanzia;3 anni;180
1. eCampus;Scienze della comunicazione;;Giurisprudenza;Laurea triennale;L-20;Scienze della Comunicazione;;;Digital Marketing,Comunicazione Istituzionale e d’Impresa,Digital Entertainment And Gaming,Influencer;3 anni;180
5. Uninettuno;Scienze della Comunicazione;;Scienze della Comunicazione;Laurea triennale;L-20;Scienze della Comunicazione;;;Istituzioni pubbliche e media digitali,Comunicazione digitale d’impresa;3 anni;180
1. eCampus;Scienze delle attività motorie e sportive;;Psicologia;Laurea triennale;L-22;Scienze delle Attività Motorie e Sportive;;;Base,Sport And Football Management;3 anni;180
3. San Raffaele;Scienze Motorie (classe L22);;Scienze motorie;Laurea triennale;L-22;Scienze delle Attività Motorie e Sportive;;;Scienze Motorie,Calcio;3 anni;180
1. eCampus;Economia;;Economia;Laurea triennale;L-33;Scienze Economiche e Statistiche;;;Economia e Commercio,Psicoeconomia,Scienze Bancarie ed Assicurative,Start-Up d’Impresa e Modelli di Business;3 anni;180
6. Unicusano;Scienze politiche e relazioni internazionali;;Scienze Politiche;Laurea triennale;L-36;Scienze Politiche e delle Relazioni Internazionali;;;Produzione e Gestione,Automotive,Progettazione;3 anni;180
5. Uninettuno;Psicologia – Discipline psicosociali;;Psicologia;Laurea triennale;L-24;Scienze e Tecniche Psicologiche;;;;3 anni;180
8. Mercatorum;Gastronomia, Ospitalità e Territori (Nutrizione Umana);;-;Laurea triennale;L-Gastr;Scienze, culture e politiche della gastronomia;;4.000,00 €;Statutario,Enologico;3 anni;180
5. Uninettuno;Ingegneria Civile;;Ingegneria;Laurea magistrale;LM-23;Ingegneria civile;;;Edilizia e Progettazione,Strutture e Infrastrutture;2 Anni;120
6. Unicusano;Ingegneria Civile;;Ingegneria;Laurea magistrale;LM-23;Ingegneria civile;;;Agroindustriale,Biomedico,Gestionale,Elettronico,Meccanico;2 Anni;120
5. Uninettuno;Ingegneria Gestionale;;Ingegneria;Laurea magistrale;LM-31;Ingegneria gestionale;;;Gestione dei Processi Industriali,Sistemi Energetici,Industria 4.0;2 Anni;120
5. Uninettuno;Gestione d’impresa e tecnologie digitali;;Economia;Laurea magistrale;LM-77;Scienze economico-aziendali;;;;2 Anni;120
5. Uninettuno;Ingegneria informatica;;Ingegneria;Laurea magistrale;LM-32;Ingegneria informatica;;;Big Data,Programmazione e sicurezza;2 Anni;120
6. Unicusano;Ingegneria industriale;;Ingegneria;Laurea triennale;L-09;Ingegneria Industriale;;;;3 anni;180
6. Unicusano;Economia aziendale e Management;;Economia;Laurea triennale;L-18;Scienze dell'economia e della gestione aziendale;;;;3 anni;180
1. eCampus;Ingegneria industriale;;Ingegneria;Laurea magistrale;LM-33;Ingegneria Industriale;;;Tecnologico Gestionale,Termomeccanico,Progettuale Meccanico,Industria 4.0;2 Anni;120
6. Unicusano;Psicologia, Scienze e Tecniche psicologiche;;Psicologia;Laurea triennale;L-24;Scienze e Tecniche Psicologiche;;;;3 anni;180
1. eCampus;Psicologia;;Psicologia;Laurea magistrale;LM-51;Psicologia;;;Psicologia Clinica e Dinamica,Psicologia Giuridica,Psicologia e Nuove Tecnologie;2 Anni;120
5. Uninettuno;Processi Cognitivi e Tecnologie;;Psicologia;Laurea magistrale;LM-51;Psicologia;;;Tecnologie di supporto clinico alla persona,Cyberpsicologia,Neuroscienze;2 Anni;120
